[INFO] main.py:40 > Namespace(batchsize=16, batchwise_prompt=False, checkpoint_every_steps=5000, data_dir=None, dataset='cifar100', dist_backend='nccl', dist_url='tcp://127.0.0.1:7009', distributed=True, e_prompt_layer_idx=[0], embedding_key='cls', eval_every_steps=-1, eval_last_only=False, eval_pad_last_batch=False, eval_period=100, eval_task_inc=False, freeze_bn_stats=False, freeze_part=['encoder', 'embedding', 'cls'], gaussian_mode='', gaussian_schedule=False, gpu_transform=True, grad_clip_max_norm=1.0, imp_update_period=1, init_checkpoint=<ml_collections.config_dict.config_dict.FieldReference object at 0x7f35adba5a50>, initializer='uniform', input_size=224, learning_rate_schedule='constant', length=10, log_loss_every_steps=3, log_path='results', lr=0.01, m=10, mask_first_epoch=False, memory_epoch=256, memory_size=2000, mode='l2p', model_config=None, model_name='resnet34', multiprocessing_distributed=False, n=50, n_worker=2, norm_01=True, norm_pre_logits=False, note='l2p', num_classes_per_task=10, num_epochs=5, num_eval_steps=-1, num_tasks=5, num_train_steps_per_task=-1, offline_eval=False, online_iter=3.0, optim='adam', per_device_batch_size=16, pool_size=10, predefined_key_path='', prompt_histogram=True, prompt_key=True, prompt_key_init='uniform', prompt_mask_mode=None, prompt_pool=True, pull_constraint=True, pull_constraint_coeff=1.0, recreate_eval=False, reinit_optimizer=True, resize_size=256, reverse_task=False, save_last_ckpt_only=True, save_prompts=False, sched_name='default', seed=1, sgd_momentum=0.9, shared_prompt_key=False, shared_prompt_pool=True, shuffle_buffer_size=10000, stream_batchsize=32, stream_eval_period=10000, subsample_rate=-1, task_specific_cls_token=False, temp_batchsize=None, temperature=1, top_k=4, topk=1, total_class=100, train_mask=True, transforms=['cutmix', 'autoaug'], trial=0, use_amp=False, use_cls_token=True, use_e_prompt=True, use_g_prompt=False, use_prefix_tune_for_e_prompt=False, use_prompt_mask=False, vit_classifier='prompt', warmup_epochs=0, weight_decay=0, weight_norm=False, world_size=4)
[INFO] main.py:49 > Set the device (cuda)
[INFO] main.py:101 > Using train-transforms Compose(
    RandomCrop(size=(224, 224), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:111 > [1] Select a CIL method (l2p)
[INFO] main.py:117 > [2] Incrementally training 5 tasks
[INFO] main.py:130 > [2-1] Prepare a datalist for the current task
[INFO] l2p.py:374 > Train | Sample # 16 | train_loss 2.2879 | train_acc 0.1250 | lr 0.009999 | running_time 0:00:11 | ETA 10:22:20
[INFO] l2p.py:374 > Train | Sample # 32 | train_loss 9.4035 | train_acc 0.0625 | lr 0.009999 | running_time 0:00:12 | ETA 5:37:43
[INFO] l2p.py:374 > Train | Sample # 48 | train_loss 6.3118 | train_acc 0.0000 | lr 0.009999 | running_time 0:00:14 | ETA 4:05:24
[INFO] l2p.py:374 > Train | Sample # 64 | train_loss 5.1069 | train_acc 0.0625 | lr 0.009999 | running_time 0:00:15 | ETA 3:21:29
[INFO] l2p.py:374 > Train | Sample # 80 | train_loss 6.0595 | train_acc 0.0625 | lr 0.009999 | running_time 0:00:16 | ETA 2:55:05
[INFO] l2p.py:374 > Train | Sample # 96 | train_loss 8.2197 | train_acc 0.0000 | lr 0.009999 | running_time 0:00:18 | ETA 2:37:29
[INFO] l2p.py:374 > Train | Sample # 112 | train_loss 8.3818 | train_acc 0.0000 | lr 0.009999 | running_time 0:00:19 | ETA 2:24:57
[INFO] l2p.py:374 > Train | Sample # 128 | train_loss 10.4206 | train_acc 0.0000 | lr 0.009998 | running_time 0:00:20 | ETA 2:15:31
[INFO] l2p.py:374 > Train | Sample # 144 | train_loss 8.4857 | train_acc 0.0625 | lr 0.009999 | running_time 0:00:22 | ETA 2:08:15
[INFO] l2p.py:374 > Train | Sample # 160 | train_loss 10.1652 | train_acc 0.0625 | lr 0.009998 | running_time 0:00:23 | ETA 2:02:20
[INFO] l2p.py:374 > Train | Sample # 176 | train_loss 8.2315 | train_acc 0.0000 | lr 0.009997 | running_time 0:00:24 | ETA 1:57:29
[INFO] l2p.py:374 > Train | Sample # 192 | train_loss 5.8789 | train_acc 0.0000 | lr 0.009999 | running_time 0:00:26 | ETA 1:53:29
[INFO] l2p.py:374 > Train | Sample # 208 | train_loss 8.7246 | train_acc 0.0000 | lr 0.009998 | running_time 0:00:27 | ETA 1:50:03
[INFO] l2p.py:374 > Train | Sample # 224 | train_loss 7.5123 | train_acc 0.0000 | lr 0.009997 | running_time 0:00:28 | ETA 1:47:10
[INFO] l2p.py:374 > Train | Sample # 240 | train_loss 6.3617 | train_acc 0.1250 | lr 0.009999 | running_time 0:00:30 | ETA 1:44:41
[INFO] l2p.py:374 > Train | Sample # 256 | train_loss 7.8743 | train_acc 0.1875 | lr 0.009998 | running_time 0:00:31 | ETA 1:42:25
[INFO] l2p.py:374 > Train | Sample # 272 | train_loss 6.9908 | train_acc 0.0000 | lr 0.009997 | running_time 0:00:32 | ETA 1:40:32
[INFO] l2p.py:374 > Train | Sample # 288 | train_loss 8.9555 | train_acc 0.0625 | lr 0.009996 | running_time 0:00:34 | ETA 1:38:46
[INFO] l2p.py:374 > Train | Sample # 304 | train_loss 6.1181 | train_acc 0.1250 | lr 0.009995 | running_time 0:00:35 | ETA 1:37:11
[INFO] l2p.py:374 > Train | Sample # 320 | train_loss 5.2890 | train_acc 0.0625 | lr 0.009999 | running_time 0:00:37 | ETA 1:35:48
[INFO] l2p.py:374 > Train | Sample # 336 | train_loss 5.3402 | train_acc 0.1250 | lr 0.009998 | running_time 0:00:38 | ETA 1:34:33
[INFO] l2p.py:374 > Train | Sample # 352 | train_loss 5.1003 | train_acc 0.0000 | lr 0.009999 | running_time 0:00:39 | ETA 1:33:22
[INFO] l2p.py:374 > Train | Sample # 368 | train_loss 6.8152 | train_acc 0.0000 | lr 0.009999 | running_time 0:00:41 | ETA 1:32:19
[INFO] l2p.py:374 > Train | Sample # 384 | train_loss 5.2202 | train_acc 0.0000 | lr 0.009998 | running_time 0:00:42 | ETA 1:31:27
[INFO] l2p.py:374 > Train | Sample # 400 | train_loss 5.3205 | train_acc 0.0000 | lr 0.009997 | running_time 0:00:43 | ETA 1:30:34
[INFO] l2p.py:374 > Train | Sample # 416 | train_loss 3.6423 | train_acc 0.0625 | lr 0.009996 | running_time 0:00:45 | ETA 1:29:46
[INFO] l2p.py:374 > Train | Sample # 432 | train_loss 5.8725 | train_acc 0.0625 | lr 0.009995 | running_time 0:00:46 | ETA 1:28:23
[INFO] l2p.py:374 > Train | Sample # 448 | train_loss 5.7125 | train_acc 0.0625 | lr 0.009994 | running_time 0:00:47 | ETA 1:28:17
[INFO] l2p.py:374 > Train | Sample # 464 | train_loss 5.1863 | train_acc 0.0000 | lr 0.009993 | running_time 0:00:49 | ETA 1:27:35
[INFO] l2p.py:374 > Train | Sample # 480 | train_loss 3.6354 | train_acc 0.0000 | lr 0.009992 | running_time 0:00:50 | ETA 1:26:57
[INFO] l2p.py:374 > Train | Sample # 496 | train_loss 5.1524 | train_acc 0.0625 | lr 0.009999 | running_time 0:00:51 | ETA 1:26:22
[INFO] l2p.py:374 > Train | Sample # 512 | train_loss 4.6186 | train_acc 0.0000 | lr 0.009998 | running_time 0:00:53 | ETA 1:25:48
[INFO] l2p.py:374 > Train | Sample # 528 | train_loss 4.2369 | train_acc 0.0000 | lr 0.009997 | running_time 0:00:54 | ETA 1:25:17
[INFO] l2p.py:374 > Train | Sample # 544 | train_loss 4.0659 | train_acc 0.0625 | lr 0.009999 | running_time 0:00:55 | ETA 1:24:47
[INFO] l2p.py:374 > Train | Sample # 560 | train_loss 4.5747 | train_acc 0.1250 | lr 0.009999 | running_time 0:00:57 | ETA 1:24:19
[INFO] l2p.py:374 > Train | Sample # 576 | train_loss 4.2843 | train_acc 0.0625 | lr 0.009998 | running_time 0:00:58 | ETA 1:23:53
[INFO] l2p.py:374 > Train | Sample # 592 | train_loss 3.5918 | train_acc 0.0625 | lr 0.009997 | running_time 0:01:00 | ETA 1:23:27
[INFO] l2p.py:374 > Train | Sample # 608 | train_loss 3.6504 | train_acc 0.1250 | lr 0.009999 | running_time 0:01:01 | ETA 1:23:04
[INFO] l2p.py:374 > Train | Sample # 624 | train_loss 3.3883 | train_acc 0.0625 | lr 0.009998 | running_time 0:01:02 | ETA 1:22:41
[INFO] l2p.py:374 > Train | Sample # 640 | train_loss 4.1370 | train_acc 0.0625 | lr 0.009997 | running_time 0:01:04 | ETA 1:22:20
[INFO] l2p.py:374 > Train | Sample # 656 | train_loss 3.8444 | train_acc 0.1250 | lr 0.009996 | running_time 0:01:05 | ETA 1:21:59
[INFO] l2p.py:374 > Train | Sample # 672 | train_loss 3.6559 | train_acc 0.1250 | lr 0.009995 | running_time 0:01:06 | ETA 1:21:39
[INFO] l2p.py:374 > Train | Sample # 688 | train_loss 3.7026 | train_acc 0.1250 | lr 0.009994 | running_time 0:01:08 | ETA 1:21:20
[INFO] l2p.py:374 > Train | Sample # 704 | train_loss 4.2496 | train_acc 0.0000 | lr 0.009999 | running_time 0:01:09 | ETA 1:21:03
[INFO] l2p.py:374 > Train | Sample # 720 | train_loss 3.6121 | train_acc 0.0625 | lr 0.009998 | running_time 0:01:10 | ETA 1:20:44
[INFO] l2p.py:374 > Train | Sample # 736 | train_loss 3.1763 | train_acc 0.0625 | lr 0.009997 | running_time 0:01:12 | ETA 1:20:28
[INFO] l2p.py:374 > Train | Sample # 752 | train_loss 3.4996 | train_acc 0.0625 | lr 0.009996 | running_time 0:01:13 | ETA 1:20:13
[INFO] l2p.py:374 > Train | Sample # 768 | train_loss 4.2208 | train_acc 0.0000 | lr 0.009999 | running_time 0:01:14 | ETA 1:19:57
[INFO] l2p.py:374 > Train | Sample # 784 | train_loss 3.9918 | train_acc 0.0625 | lr 0.009998 | running_time 0:01:16 | ETA 1:19:42
[INFO] l2p.py:374 > Train | Sample # 800 | train_loss 3.7389 | train_acc 0.0000 | lr 0.009997 | running_time 0:01:17 | ETA 1:19:28
[INFO] l2p.py:374 > Train | Sample # 816 | train_loss 4.2460 | train_acc 0.0000 | lr 0.009996 | running_time 0:01:18 | ETA 1:19:14
[INFO] l2p.py:374 > Train | Sample # 832 | train_loss 4.0599 | train_acc 0.0000 | lr 0.009995 | running_time 0:01:19 | ETA 1:18:42
[INFO] l2p.py:374 > Train | Sample # 848 | train_loss 3.9955 | train_acc 0.0625 | lr 0.009994 | running_time 0:01:21 | ETA 1:18:48
[INFO] l2p.py:374 > Train | Sample # 864 | train_loss 3.4473 | train_acc 0.0625 | lr 0.009993 | running_time 0:01:22 | ETA 1:18:36
[INFO] l2p.py:374 > Train | Sample # 880 | train_loss 3.1302 | train_acc 0.0000 | lr 0.009992 | running_time 0:01:24 | ETA 1:18:24
[INFO] l2p.py:374 > Train | Sample # 896 | train_loss 3.1396 | train_acc 0.0000 | lr 0.009991 | running_time 0:01:25 | ETA 1:18:13
[INFO] l2p.py:374 > Train | Sample # 912 | train_loss 3.0867 | train_acc 0.0000 | lr 0.009990 | running_time 0:01:26 | ETA 1:17:44
[INFO] l2p.py:374 > Train | Sample # 928 | train_loss 4.7674 | train_acc 0.0000 | lr 0.009999 | running_time 0:01:28 | ETA 1:17:35
