[INFO] main.py:40 > Namespace(batchsize=16, batchwise_prompt=False, checkpoint_every_steps=5000, data_dir=None, dataset='cifar100', dist_backend='nccl', dist_url='tcp://127.0.0.1:7009', distributed=True, e_prompt_layer_idx=[0], embedding_key='cls', eval_every_steps=-1, eval_last_only=False, eval_pad_last_batch=False, eval_period=100, eval_task_inc=False, freeze_bn_stats=False, freeze_part=['encoder', 'embedding', 'cls'], gaussian_mode='', gaussian_schedule=False, gpu_transform=True, grad_clip_max_norm=1.0, imp_update_period=1, init_checkpoint=<ml_collections.config_dict.config_dict.FieldReference object at 0x7f942c061590>, initializer='uniform', input_size=224, learning_rate_schedule='constant', length=10, log_loss_every_steps=3, log_path='results', lr=0.0003, m=10, mask_first_epoch=False, memory_epoch=256, memory_size=2000, mode='l2p', model_config=None, model_name='resnet34', multiprocessing_distributed=True, n=50, n_worker=2, norm_01=True, norm_pre_logits=False, note='l2p', num_classes_per_task=10, num_epochs=5, num_eval_steps=-1, num_tasks=5, num_train_steps_per_task=-1, offline_eval=False, online_iter=3.0, optim='adam', per_device_batch_size=16, pool_size=10, predefined_key_path='', prompt_histogram=True, prompt_key=True, prompt_key_init='uniform', prompt_mask_mode=None, prompt_pool=True, pull_constraint=True, pull_constraint_coeff=1.0, recreate_eval=False, reinit_optimizer=True, resize_size=256, reverse_task=False, save_last_ckpt_only=True, save_prompts=False, sched_name='default', seed=1, sgd_momentum=0.9, shared_prompt_key=False, shared_prompt_pool=True, shuffle_buffer_size=10000, stream_batchsize=32, stream_eval_period=10000, subsample_rate=-1, task_specific_cls_token=False, temp_batchsize=None, temperature=1, top_k=4, topk=1, total_class=100, train_mask=True, transforms=['cutmix', 'autoaug'], trial=0, use_amp=False, use_cls_token=True, use_e_prompt=True, use_g_prompt=False, use_prefix_tune_for_e_prompt=False, use_prompt_mask=False, vit_classifier='prompt', warmup_epochs=0, weight_decay=0, weight_norm=False, world_size=4)
[INFO] main.py:49 > Set the device (cuda)
[INFO] main.py:101 > Using train-transforms Compose(
    RandomCrop(size=(224, 224), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:111 > [1] Select a CIL method (l2p)
Loaded pretrained weights.
x_embedded_dim 768
[INFO] main.py:117 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:130 > [2-1] Prepare a datalist for the current task
[INFO] l2p.py:345 > Train | Sample # 16 | train_loss 4.6629 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:11 | ETA 10:22:24
[INFO] l2p.py:345 > Train | Sample # 32 | train_loss 6.0758 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:12 | ETA 5:27:01
[INFO] l2p.py:345 > Train | Sample # 48 | train_loss 4.0852 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:14 | ETA 4:05:41
[INFO] l2p.py:345 > Train | Sample # 64 | train_loss 5.9863 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:15 | ETA 3:16:39
[INFO] l2p.py:345 > Train | Sample # 80 | train_loss 3.8337 | train_acc 0.1250 | lr 0.000300 | running_time 0:00:16 | ETA 2:51:01
[INFO] l2p.py:345 > Train | Sample # 96 | train_loss 3.7846 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:18 | ETA 2:37:50
[INFO] l2p.py:345 > Train | Sample # 112 | train_loss 5.0765 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:19 | ETA 2:22:28
[INFO] l2p.py:345 > Train | Sample # 128 | train_loss 4.1477 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:20 | ETA 2:15:10
[INFO] l2p.py:345 > Train | Sample # 144 | train_loss 4.8969 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:22 | ETA 2:07:14
[INFO] l2p.py:345 > Train | Sample # 160 | train_loss 4.7602 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:23 | ETA 2:01:30
[INFO] l2p.py:345 > Train | Sample # 176 | train_loss 4.9245 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:24 | ETA 1:54:57
[INFO] l2p.py:345 > Train | Sample # 192 | train_loss 4.0412 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:26 | ETA 1:52:52
[INFO] l2p.py:345 > Train | Sample # 208 | train_loss 4.1359 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:27 | ETA 1:47:59
[INFO] l2p.py:345 > Train | Sample # 224 | train_loss 3.9011 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:28 | ETA 1:46:40
[INFO] l2p.py:345 > Train | Sample # 240 | train_loss 3.6233 | train_acc 0.1250 | lr 0.000300 | running_time 0:00:29 | ETA 1:42:53
[INFO] l2p.py:345 > Train | Sample # 256 | train_loss 3.5547 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:31 | ETA 1:40:46
[INFO] l2p.py:345 > Train | Sample # 272 | train_loss 4.2853 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:32 | ETA 1:38:54
[INFO] l2p.py:345 > Train | Sample # 288 | train_loss 4.7407 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:34 | ETA 1:38:23
[INFO] l2p.py:345 > Train | Sample # 304 | train_loss 3.4769 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:35 | ETA 1:35:44
[INFO] l2p.py:345 > Train | Sample # 320 | train_loss 4.4711 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:36 | ETA 1:35:26
[INFO] l2p.py:345 > Train | Sample # 336 | train_loss 3.0783 | train_acc 0.1875 | lr 0.000300 | running_time 0:00:38 | ETA 1:34:12
[INFO] l2p.py:345 > Train | Sample # 352 | train_loss 3.9892 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:39 | ETA 1:32:10
[INFO] l2p.py:345 > Train | Sample # 368 | train_loss 3.9311 | train_acc 0.0625 | lr 0.000300 | running_time 0:00:40 | ETA 1:31:11
[INFO] l2p.py:345 > Train | Sample # 384 | train_loss 3.9637 | train_acc 0.0000 | lr 0.000300 | running_time 0:00:41 | ETA 1:30:13
[INFO] l2p.py:345 > Train | Sample # 400 | train_loss 3.8450 | train_acc 0.1250 | lr 0.000300 | running_time 0:00:43 | ETA 1:29:23
